recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
palak-chicken-recipe-dhaba-style-saag-wala-chicken,41,WRITE,label,A pinch garam masala,,,,,,,,A pinch garam masala
palak-chicken-recipe-dhaba-style-saag-wala-chicken,42,WRITE,label,"A handful fresh coriander, roughly chopped",,,,,,,,"A handful fresh coriander, roughly chopped"
panang-curry,0,WRITE,label,"350g / 12 oz boneless, skinless chicken thighs , cut into 7mm/ 1/3"" slices",350 g,350 g,350,350,g,g,"boneless, skinless chicken thighs , cut into 7mm/ 1/3"" slices","boneless, skinless chicken thighs, cut into 7mm/ 1/3"" slices"
panang-curry,5,WRITE,label,"2 lemongrass stems , finely grated (2 x 20cm/8"" lengths)",2,2,2,2,,,"lemongrass stems , finely grated (2 x 20cm/8"" lengths)","lemongrass stems, finely grated (2 x 20cm/8"" lengths)"
panang-curry,6,WRITE,label,"2 shallots , roughly chopped (1/2 cup)",2,2,2,2,,,"shallots , roughly chopped","shallots, roughly chopped"
panang-curry,17,WRITE,label,"200g/7oz green beans , trimmed, cut in half (~1 1/2 cups)",200 g,200 g,200,200,g,g,"green beans , trimmed, cut in half","green beans, trimmed, cut in half"
panang-curry,22,WRITE,label,"Thai basil leaves , 3 leaves per serving",,,,,,,"Thai basil leaves , 3 leaves per serving","Thai basil leaves, 3 leaves per serving"
pasta-bolognese,1,WRITE,qty unit,"1 Large Onion, diced",1 large,1 Large,1,1,large,Large,"Onion, diced","Onion, diced"
pasta-bolognese,4,WRITE,qty unit,5 Cloves of Garlic,5 cloves,5 Cloves,5,5,cloves,Cloves,Garlic,Garlic
pasta-bolognese,7,WRITE,qty unit,1 Bunch of Thyme,1 bunch,1 Bunch,1,1,bunch,Bunch,Thyme,Thyme
pasta-e-ceci,2,WRITE,qty unit,"1 Large Carrot, Small Diced",1 large,1 Large,1,1,large,Large,"Carrot, Small Diced","Carrot, Small Diced"
pasta-e-ceci,4,WRITE,qty unit,"4 Cloves of Garlic, smashed and chopped",4 cloves,4 Cloves,4,4,cloves,Cloves,"Garlic, smashed and chopped","Garlic, smashed and chopped"
pasta-with-lentils,7,WRITE,qty unit,3 Cloves of Garlic,3 cloves,3 Cloves,3,3,cloves,Cloves,Garlic,Garlic
pasta-with-lentils,12,WRITE,qty unit,1 Sprig of Rosemary,1 sprig,1 Sprig,1,1,sprig,Sprig,Rosemary,Rosemary
pasta-with-lentils,13,WRITE,qty unit,1 Sprig of Thyme,1 sprig,1 Sprig,1,1,sprig,Sprig,Thyme,Thyme
pasta-with-lentils,17,WRITE,qty unit,Pinch of Dried Chili,pinch,Pinch,,,pinch,Pinch,Dried Chili,Dried Chili
pastina,1,WRITE,qty unit,1 Cup of Pastina (Either Pastina or Acini di Pepe work),1 cup,1 Cup,1,1,cup,Cup,of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work)
pastina,2,WRITE,qty unit,"3-4 Cups of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)",3-4 cups,3-4 Cups,3-4,3-4,cups,Cups,"of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)"
pastina,3,WRITE,qty unit,1 Tablespoon of Unsalted Butter,1 tbsp,1 Tablespoon,1,1,tbsp,Tablespoon,of Unsalted Butter,of Unsalted Butter
pastina,4,WRITE,qty unit,1/4 Cup of Grated Parmigiano reggiano,1/4 cup,1/4 Cup,1/4,1/4,cup,Cup,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano
pastina,5,WRITE,label,Salt and Pepper To taste,,,,,,,,Salt and Pepper To taste
pastina,6,WRITE,label,Extra Virgin Olive Oil,,,,,,,,Extra Virgin Olive Oil
pastina,8,WRITE,qty unit,3/4 Cup of Pastina (Either Pastina or Acini de Pepe work),3/4 cup,3/4 Cup,3/4,3/4,cup,Cup,of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work)
pastina,10,WRITE,qty unit,"1/2 Cup of Carrots, Small Dice",1/2 cup,1/2 Cup,1/2,1/2,cup,Cup,"of Carrots, Small Dice","of Carrots, Small Dice"
pastina,12,WRITE,qty unit,"1 Clove of Garlic, Diced",1 clove,1 Clove,1,1,clove,Clove,"Garlic, Diced","Garlic, Diced"
pastina,13,WRITE,label,A pinch of chili flakes,,,,,,,,A pinch of chili flakes
pastina,15,WRITE,qty unit,1 Tablespoon of Unsalted Butter,1 tbsp,1 Tablespoon,1,1,tbsp,Tablespoon,of Unsalted Butter,of Unsalted Butter
pastina,16,WRITE,qty unit,1/4 Cup of Grated Parmigiano reggiano,1/4 cup,1/4 Cup,1/4,1/4,cup,Cup,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano
pastina,17,WRITE,label,Salt and Pepper To taste,,,,,,,,Salt and Pepper To taste
pastina,18,WRITE,label,Extra Virgin Olive Oil,,,,,,,,Extra Virgin Olive Oil
penne-alla-vodka,6,WRITE,qty unit,1 Can Whole Peeled Tomatoes,1 can,1 Can,1,1,can,Can,Whole Peeled Tomatoes,Whole Peeled Tomatoes
pepperoni-rolls,2,WRITE,qty unit,1 tablespoon active dry yeast,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,active dry yeast,active dry yeast
pepperoni-rolls,3,WRITE,qty unit,1 tablespoon honey,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,honey,honey
pepperoni-rolls,9,WRITE,qty unit,"1 pound pepperoni in stick form, spicy is nice",1 lb,1 pound,1,1,lb,pound,"pepperoni in stick form, spicy is nice","pepperoni in stick form, spicy is nice"
pepperoni-rolls,10,WRITE,qty unit,1 pound sliced provolone,1 lb,1 pound,1,1,lb,pound,sliced provolone,sliced provolone
pepperoni-rolls,12,WRITE,label,Fresh basil,,,,,,,,Fresh basil
pepperoni-rolls,14,WRITE,label,Fresh ricotta,,,,,,,,Fresh ricotta
prego-rolls-steak-and-piri-piri-sandwiches,4,WRITE,qty unit,Pinch of kosher salt,pinch,Pinch,,,pinch,Pinch,kosher salt,kosher salt
priya-s-dal,10,WRITE,qty unit,Pinch of red chile powder,pinch,Pinch,,,pinch,Pinch,red chile powder,red chile powder
priya-s-dal,11,WRITE,qty unit,"Pinch of asafetida (optional, but really great)",pinch,Pinch,,,pinch,Pinch,"asafetida (optional, but really great)","asafetida (optional, but really great)"
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,3,WRITE,qty unit,2 tablespoons (15 grams) pumpkin pie spice,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,pumpkin pie spice,pumpkin pie spice
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,4,WRITE,qty unit,½ teaspoon kosher salt,½ tsp,½ teaspoon,½,½,tsp,teaspoon,kosher salt,kosher salt
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,5,WRITE,qty unit,¾ teaspoon baking powder,¾ tsp,¾ teaspoon,¾,¾,tsp,teaspoon,baking powder,baking powder
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,6,WRITE,qty unit,¾ teaspoon baking soda,¾ tsp,¾ teaspoon,¾,¾,tsp,teaspoon,baking soda,baking soda
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,9,WRITE,qty unit,1 tablespoon vanilla extract,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,vanilla extract,vanilla extract
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,11,WRITE,qty unit,"4 ounces (½ block/113 grams) cold cream cheese, cut into large cubes",4 oz,4 ounces,4,4,oz,ounces,"cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes"
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,13,WRITE,qty unit,1 teaspoon vanilla extract,1 tsp,1 teaspoon,1,1,tsp,teaspoon,vanilla extract,vanilla extract
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,14,WRITE,qty unit,Pinch of kosher salt,pinch,Pinch,,,pinch,Pinch,kosher salt,kosher salt
rao-s-meatballs,6,WRITE,label qty unit,"1 small garlic clove, minced",1 small,1 small clove,1,1,small,small clove,"garlic clove, minced","garlic, minced"
red-wine-braised-short-ribs,0,WRITE,qty unit,6 Large Boneless Short Ribs (Or 6 Short Ribs with the bones removed),6 large,6 Large,6,6,large,Large,Boneless Short Ribs (Or 6 Short Ribs with the bones removed),Boneless Short Ribs (Or 6 Short Ribs with the bones removed)
red-wine-braised-short-ribs,4,WRITE,qty unit,6 Cloves of Garlic,6 cloves,6 Cloves,6,6,cloves,Cloves,Garlic,Garlic
red-wine-braised-short-ribs,6,WRITE,qty unit,"5 Sprigs of Thyme, plus some for garnish",5 sprigs,5 Sprigs,5,5,sprigs,Sprigs,"Thyme, plus some for garnish","Thyme, plus some for garnish"
red-wine-braised-short-ribs,7,WRITE,qty unit,2 Sprigs of Rosemary,2 sprigs,2 Sprigs,2,2,sprigs,Sprigs,Rosemary,Rosemary
shepherds-pie,0,WRITE,qty unit,2 pounds Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),2 lb,2 pounds,2,2,lb,pounds,Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie)
shepherds-pie,5,WRITE,qty unit,3 tablespoon tomato paste,3 tbsp,3 tablespoon,3,3,tbsp,tablespoon,tomato paste,tomato paste
shepherds-pie,6,WRITE,qty unit,2 tablespoons Worcestershire sauce,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,Worcestershire sauce,Worcestershire sauce
shepherds-pie,10,WRITE,qty unit,1 Can of Guinness,1 can,1 Can,1,1,can,Can,Guinness,Guinness
shepherds-pie,11,WRITE,label qty unit,1 Rosemary sprig,1,1 sprig,1,1,,sprig,Rosemary sprig,Rosemary
shepherds-pie,12,WRITE,label qty unit,3 Thyme Sprigs,3,3 Sprigs,3,3,,Sprigs,Thyme Sprigs,Thyme
shepherds-pie,14,WRITE,qty unit,1 tablespoon butter,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,butter,butter
shepherds-pie,15,WRITE,qty unit,2 tablespoon olive oil,2 tbsp,2 tablespoon,2,2,tbsp,tablespoon,olive oil,olive oil
shepherds-pie,16,WRITE,label,Sea Salt,,,,,,,,Sea Salt
shepherds-pie,17,WRITE,label,Pepper,,,,,,,,Pepper
shepherds-pie,18,WRITE,qty unit,2 Tablespoons AP Flour,2 tbsp,2 Tablespoons,2,2,tbsp,Tablespoons,AP Flour,AP Flour
shepherds-pie,20,WRITE,qty unit,4 pounds Russet potatoes,4 lb,4 pounds,4,4,lb,pounds,Russet potatoes,Russet potatoes
shepherds-pie,21,WRITE,qty unit,4 tablespoons butter,4 tbsp,4 tablespoons,4,4,tbsp,tablespoons,butter,butter
shepherds-pie,24,WRITE,label,Sea Salt,,,,,,,,Sea Salt
shrimp-scampi,2,WRITE,qty unit,"3 Large Cloves of Garlic, Sliced Thin",3 large cloves,3 Large Cloves,3,3,large cloves,Large Cloves,"Garlic, Sliced Thin","Garlic, Sliced Thin"
spicy-edamame,5,WRITE,label,"2 tsp garlic , finely minced",2 tsp,2 tsp,2,2,tsp,tsp,"garlic , finely minced","garlic, finely minced"
spicy-edamame,6,WRITE,label,"1 tbsp sambal oelek , adjust/omit to taste",1 tbsp,1 tbsp,1,1,tbsp,tbsp,"sambal oelek , adjust/omit to taste","sambal oelek, adjust/omit to taste"
spicy-edamame,7,WRITE,label,"2 tsp sesame oil , toasted",2 tsp,2 tsp,2,2,tsp,tsp,"sesame oil , toasted","sesame oil, toasted"
sweet-pumpkin-fritters,1,WRITE,qty unit,Pinch of salt,pinch,Pinch,,,pinch,Pinch,salt,salt
tacos,3,WRITE,label,"1 onion , finely chopped",1,1,1,1,,,"onion , finely chopped","onion, finely chopped"
tacos,4,WRITE,label,"500 g / 1 lb beef , ground / mince",500 g,500 g,500,500,g,g,"beef , ground / mince","beef, ground / mince"
tahini-brioche-loaves-and-dinner-rolls,2,WRITE,qty unit,2¼ teaspoons active dry yeast,2¼ tsp,2¼ teaspoons,2¼,2¼,tsp,teaspoons,active dry yeast,active dry yeast
tahini-brioche-loaves-and-dinner-rolls,3,WRITE,qty unit,½ teaspoon sugar,½ tsp,½ teaspoon,½,½,tsp,teaspoon,sugar,sugar
tahini-brioche-loaves-and-dinner-rolls,9,WRITE,qty unit,1 tablespoon salt,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,salt,salt
tahini-brioche-loaves-and-dinner-rolls,11,WRITE,qty unit,6 tablespoons tahini,6 tbsp,6 tablespoons,6,6,tbsp,tablespoons,tahini,tahini
tahini-brioche-loaves-and-dinner-rolls,14,WRITE,qty unit,"2 pounds Tahini Brioche Dough, cold",2 lb,2 pounds,2,2,lb,pounds,"Tahini Brioche Dough, cold","Tahini Brioche Dough, cold"
tahini-brioche-loaves-and-dinner-rolls,16,WRITE,qty unit,2 teaspoons whole milk,2 tsp,2 teaspoons,2,2,tsp,teaspoons,whole milk,whole milk
tahini-brioche-loaves-and-dinner-rolls,17,WRITE,qty unit,"2 to 3 tablespoons sesame seeds, toasted",2 to 3 tbsp,2 to 3 tablespoons,2 to 3,2 to 3,tbsp,tablespoons,"sesame seeds, toasted","sesame seeds, toasted"
thai-basil-chicken-2,0,WRITE,label,"225g / 7oz chicken thigh fillets , skinless boneless, cut into bite size pieces",225 g,225 g,225,225,g,g,"chicken thigh fillets , skinless boneless, cut into bite size pieces","chicken thigh fillets, skinless boneless, cut into bite size pieces"
thai-basil-chicken-2,1,WRITE,label,"1 green onion , cut into 4cm / 2"" lengths.",1,1,1,1,,,"green onion , cut into 4cm / 2"" lengths.","green onion, cut into 4cm / 2"" lengths."
thai-basil-chicken-2,2,WRITE,label,"1 cup Thai basil leaves , loosely packed",1 cup,1 cup,1,1,cup,cup,"Thai basil leaves , loosely packed","Thai basil leaves, loosely packed"
thai-basil-chicken-2,4,WRITE,label,"1 birds eye or Thai chilli , deseeded and finely chopped",1,1,1,1,,,"birds eye or Thai chilli , deseeded and finely chopped","birds eye or Thai chilli, deseeded and finely chopped"
three-cup-chicken,2,WRITE,label qty unit,"5 medium garlic cloves, smashed",5 medium,5 medium cloves,5,5,medium,medium cloves,"garlic cloves, smashed","garlic, smashed"
three-cup-tofu,13,WRITE,qty unit,Small bunch of Thai basil (about 1 cup packed leaves),small bunch,Small bunch,,,small bunch,Small bunch,Thai basil (about 1 cup packed leaves),Thai basil (about 1 cup packed leaves)
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,0,WRITE,label qty unit,"3 garlic cloves, minced",3,3 cloves,3,3,,cloves,"garlic cloves, minced","garlic, minced"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,1,WRITE,qty unit,3 tablespoons freshly squeezed lime juice,3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,freshly squeezed lime juice,freshly squeezed lime juice
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,2,WRITE,qty unit,"½ teaspoon kosher salt, plus more as needed",½ tsp,½ teaspoon,½,½,tsp,teaspoon,"kosher salt, plus more as needed","kosher salt, plus more as needed"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,3,WRITE,label qty unit,4 small whole mackerel (about,4,4 small,4,4,,small,small whole mackerel (about,whole mackerel (about
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,7,WRITE,label,"Canola oil, for frying",,,,,,,,"Canola oil, for frying"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,10,WRITE,qty unit,1 teaspoon curry powder or,1 tsp,1 teaspoon,1,1,tsp,teaspoon,curry powder or,curry powder or
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,11,WRITE,label,Xawaash Spice Mix,,,,,,,,Xawaash Spice Mix
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,12,WRITE,qty unit,"1 pound mature (not baby) spinach, coarsely chopped",1 lb,1 pound,1,1,lb,pound,"mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped"
vanilla-mug-cake,4,WRITE,label,"2 tablespoon butter, , melted (28 g)",2 tablespoon,2 tablespoon,2,2,tablespoon,tablespoon,"butter, , melted","butter, melted"
vietnamese-caramel-ginger-chicken,0,WRITE,label,"2 lb skinless chicken thigh fillets , cut into large 5cm/2″ pieces",2 lb,2 lb,2,2,lb,lb,"skinless chicken thigh fillets , cut into large 5cm/2″ pieces","skinless chicken thigh fillets, cut into large 5cm/2″ pieces"
vietnamese-caramel-ginger-chicken,2,WRITE,label,"1 bird’s eye chili or Thai chili , deseeded, finely minced",1,1,1,1,,,"bird’s eye chili or Thai chili , deseeded, finely minced","bird’s eye chili or Thai chili, deseeded, finely minced"
vietnamese-caramel-ginger-chicken,5,WRITE,label,"1/3 cup ginger , finely julienned (about 5 cm/2″ thick piece)",1/3 cup,1/3 cup,1/3,1/3,cup,cup,"ginger , finely julienned (about 5 cm/2″ thick piece)","ginger, finely julienned (about 5 cm/2″ thick piece)"
vietnamese-caramel-ginger-chicken,10,WRITE,label qty unit,green onion slices,,slices,,,,slices,green onion slices,green onion
vietnamese-caramel-ginger-chicken,11,WRITE,label,"Red chili , finely sliced (optional)",,,,,,,"Red chili , finely sliced (optional)","Red chili, finely sliced (optional)"
vietnamese-caramelised-pork,1,WRITE,label,"1/2 onion , finely diced (brown, white or yellow) (~1/2 cup)",1/2,1/2,1/2,1/2,,,"onion , finely diced (brown, white or yellow)","onion, finely diced (brown, white or yellow)"
vietnamese-caramelised-pork,2,WRITE,label,"2 tsp ginger , grated or minced",2 tsp,2 tsp,2,2,tsp,tsp,"ginger , grated or minced","ginger, grated or minced"
vietnamese-caramelised-pork,4,WRITE,label,"1 birds eye or Thai chili , deseeded and finely chopped",1,1,1,1,,,"birds eye or Thai chili , deseeded and finely chopped","birds eye or Thai chili, deseeded and finely chopped"
vietnamese-caramelised-pork,8,WRITE,label,"1 green onion stem , finely sliced",1,1,1,1,,,"green onion stem , finely sliced","green onion stem, finely sliced"
warm-buttered-hummus,2,WRITE,qty unit,Pinch of baking soda,pinch,Pinch,,,pinch,Pinch,baking soda,baking soda
acqua-pazza,5,"EXCLUDED: rule 6, the stored amount's count would change",label qty quantity,"large red chili (cayenne pepper) , seeds removed and finely chopped (I used 2 dried red chilis)",1/2 large,large,1/2,,large,large,"red chili (cayenne pepper) , seeds removed and finely chopped (I used 2 dried red chilis)","red chili (cayenne pepper), seeds removed and finely chopped (I used 2 dried red chilis)"
aloo-gobhi,2,"EXCLUDED: rule 6, the stored amount's count would change",label qty quantity unit,"3 tablespoons + 2 tablespoons olive oil, divided",3 + 2 tbsp,3 tablespoons,3 + 2 tbsp,3,,tablespoons,"olive oil, divided","+ 2 tablespoons olive oil, divided"
aloo-gobhi,6,"EXCLUDED: rule 2, the row carries a note",label quantity unit,"pinch asafetidaoptional, but really great",pinch,pinch,pinch,,,pinch,asafetida,"asafetidaoptional, but really great"
aloo-gobhi,9,"EXCLUDED: rule 2, the row carries a note",label,"1 tbsp lime juice about half a lime, plus more if needed",1 tbsp,1 tbsp,1,1,tbsp,tbsp,lime juice,"lime juice about half a lime, plus more if needed"
aloo-potato-parathas,6,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,"medium russet potatoes, boiled (How to Boil Potatoes), cooled, and peeled",2 medium,medium,2,,medium,medium,"russet potatoes, boiled (How to Boil Potatoes), cooled, and peeled","russet potatoes, boiled (How to Boil Potatoes), cooled, and peeled"
arkansas-style-cheese-dip,2,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,"medium white onion, cut into half-moon slivers about / inch thick",½ medium,medium,½,,medium,medium,"white onion, cut into half-moon slivers about / inch thick","white onion, cut into half-moon slivers about / inch thick"
arkansas-style-cheese-dip,4,"EXCLUDED: rule 6, the stored amount's count would change",label qty quantity unit,"large garlic clove, crushed",1 large,large clove,1,,large,large clove,"garlic clove, crushed","garlic, crushed"
arkansas-style-cheese-dip,7,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,"large tomato, diced (heaping cup), juices collected",1 large,large,1,,large,large,"tomato, diced (heaping cup), juices collected","tomato, diced (heaping cup), juices collected"
arkansas-style-cheese-dip,20,"EXCLUDED: rule 6, the stored amount's count would change",label qty quantity unit,"large bag of tortilla chips, for serving",1 large,large bag,1,,large,large bag,"bag of tortilla chips, for serving","tortilla chips, for serving"
baked-tofu,2,"EXCLUDED: rule 2, the row carries an edit",label qty unit,"1 tablespoon vegetable oil, plus more for baking sheet",1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,vegetable oil,"vegetable oil, plus more for baking sheet"
baked-tofu,3,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity unit,½ teaspoon garlic powder,1 tsp,½ teaspoon,1,½,tsp,teaspoon,garlic powder,garlic powder
baked-tofu,4,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity unit,½ teaspoon onion powder,1 tsp,½ teaspoon,1,½,tsp,teaspoon,onion powder,onion powder
baked-tofu,5,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity unit,3 tablespoons cornstarch,2 tbsp,3 tablespoons,2,3,tbsp,tablespoons,cornstarch,cornstarch
basic-hummus,3,"EXCLUDED: rule 7, the new name opens with junk",label,plus 2 tablespoons tahini (light roast),1 cup,1 cup,1,1,cup,cup,,plus 2 tablespoons tahini (light roast)
birria-tacos,5,"EXCLUDED: rule 2, the row carries an edit",label,"5 garlic cloves , peeled",5 cloves,5 cloves,5,5,cloves,cloves,"garlic , peeled","garlic, peeled"
bulgogi-bowls,0,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity unit,500g / 1 lb beef mince (ground beef),500 g / 1 lb,500 g,500 g / 1 lb,500,,g,beef mince (ground beef),beef mince (ground beef)
bulgogi-bowls,1,"EXCLUDED: rule 2, the row carries a note",label,"1 tbsp vegetable oil, + 2 tsp (to wilt baby spinach)",1 tbsp,1 tbsp,1,1,tbsp,tbsp,vegetable oil,"vegetable oil, + 2 tsp (to wilt baby spinach)"
bulgogi-bowls,2,"EXCLUDED: rule 2, the row carries a note",label,"1 tbsp onion, finely grated ~¼ onion",1 tbsp,1 tbsp,1,1,tbsp,tbsp,"onion, finely grated ","onion, finely grated ~¼ onion"
bulgogi-bowls,6,"EXCLUDED: rule 2, the row carries a note",label,2½ tbsp soy sauceall-purpose or light,2½ tbsp,2½ tbsp,2½,2½,tbsp,tbsp,soy sauce,soy sauceall-purpose or light
bulgogi-bowls,10,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,1/8 tsp black pepper,⅛ tsp,1/8 tsp,⅛,1/8,tsp,tsp,black pepper,black pepper
bulgogi-bowls,17,"EXCLUDED: rule 2, the row carries a note",label,"white rice (medium or short grain, if you can)",,,,,,,white rice,"white rice (medium or short grain, if you can)"
bulgogi-bowls,18,"EXCLUDED: rule 2, the row carries a note",label,"4 large handfuls baby spinach or chopped greens — cabbage, kale",4 large handfuls,4 large handfuls,4,4,large handfuls,large handfuls,baby spinach,"baby spinach or chopped greens — cabbage, kale"
cauliflower-soup,1,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,"medium onion (6 ounces/ 170g), sliced thin",1 medium,medium,1,,medium,medium,"onion (6 ounces/ 170g), sliced thin","onion (6 ounces/ 170g), sliced thin"
cauliflower-soup,2,"EXCLUDED: rule 6, the stored amount's count would change",label qty quantity unit,"6 ounces very fresh cauliflower, broken into florets",1 pound,6 ounces,1,6,pound,ounces,,"very fresh cauliflower, broken into florets"
chicken-nachos,10,"EXCLUDED: rule 2, the row carries an edit",label,"2 garlic cloves , minced",2 cloves,2 cloves,2,2,cloves,cloves,"garlic , minced","garlic, minced"
coconut-curried-golden-lentils,5,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,small shallot (diced // optional),1 small,small,1,,small,small,shallot (diced // optional),shallot (diced // optional)
coconut-curried-golden-lentils,6,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,cloves garlic (minced),4 cloves,cloves,4,,cloves,cloves,garlic (minced),garlic (minced)
dan-dan-noodles,2,"EXCLUDED: rule 2, the row carries an edit",label qty unit,1 cinnamon stick,1 stick,1,1,1,stick,,cinnamon,cinnamon stick
gai-yang,13,"EXCLUDED: rule 2, the row carries a note",label,2 tbsp tamarind pastestore-bought or homemade,2 tbsp,2 tbsp,2,2,tbsp,tbsp,tamarind paste,tamarind pastestore-bought or homemade
gai-yang,14,"EXCLUDED: rule 2, the row carries a note",label,"1 tbsp palm sugar, finely choppedor light brown sugar",1 tbsp,1 tbsp,1,1,tbsp,tbsp,"palm sugar, finely chopped","palm sugar, finely choppedor light brown sugar"
garlic-rice,1,"EXCLUDED: rule 2, the row carries an edit",label,"5 garlic cloves , finely minced",5 cloves,5 cloves,5,5,cloves,cloves,"garlic , finely minced","garlic, finely minced"
kale-fennel-and-noodle-soup-rishta,5,"EXCLUDED: rule 2, the row carries an edit",label qty unit,"1 fennel bulb, finely chopped",1 bulb,1,1,1,bulb,,"fennel, finely chopped","fennel bulb, finely chopped"
kuku-paka-african-chicken-curry,1,"EXCLUDED: rule 2, the row carries an edit",label,"4 chicken thigh fillets , skin-on and bone-in (~250g/8oz each)",4 fillets,4 fillets,4,4,fillets,fillets,"chicken thigh , skin-on and bone-in (~250g/8oz each)","chicken thigh, skin-on and bone-in (~250g/8oz each)"
kuku-paka-african-chicken-curry,8,"EXCLUDED: rule 2, the row carries an edit",label,"3 garlic cloves , finely minced",3 cloves,3 cloves,3,3,cloves,cloves,"garlic , finely minced","garlic, finely minced"
leek-and-potato-soup,1,"EXCLUDED: rule 2, the row carries an edit",label,"2 garlic cloves , large, finely minced",2 cloves,2 cloves,2,2,cloves,cloves,"garlic , large, finely minced","garlic, large, finely minced"
leek-and-potato-soup,4,"EXCLUDED: rule 2, the row carries an edit",label,"1.5 litre / 1.5 qt chicken or vegetable stock , low sodium (6 cups)",1.5 litre,1.5 litre,1.5,1.5,litre,litre,"chicken or vegetable stock , low sodium","chicken or vegetable stock, low sodium"
mejadra,12,"EXCLUDED: rule 6, the stored amount's count would change",label qty quantity unit,"large or 4 onions , very finely sliced",3 small,large,3,,small,large,,"or 4 onions, very finely sliced"
mussakhan,0,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity unit,"2 lb./1kg chicken thighs and drumsticks, skin on",2 lb / 1 kg,2 lb,2 lb / 1 kg,2,,lb,"chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on"
mussakhan,1,"EXCLUDED: rule 2, the row carries a note",label,extra-virgin olive oil,3 tbsp,3 tbsp,3,3,tbsp,tbsp,,extra-virgin olive oil
mussakhan,5,"EXCLUDED: rule 2, the row carries a note",label,1½ tbsp sumacplus more to dust,1½ tbsp,1½ tbsp,1½,1½,tbsp,tbsp,sumac,sumacplus more to dust
nandos-portuguese-chicken-and-rice,13,"EXCLUDED: rule 2, the row carries an edit",label,"2 garlic cloves , finely minced",2 cloves,2 cloves,2,2,cloves,cloves,"garlic , finely minced","garlic, finely minced"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,7,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,large bunch spinach,1 large bunch,large bunch,1,,large bunch,large bunch,spinach,spinach
palak-chicken-recipe-dhaba-style-saag-wala-chicken,23,"EXCLUDED: rule 6, the stored amount's count would change",qty quantity,"medium onions, sliced",5 medium,medium,5,,medium,medium,"onions, sliced","onions, sliced"
