recipe_id,position,old_label,old_raw,new_label,new_raw,display_before,display_after
arkansas-style-cheese-dip,21,,"limes, cut into wedges, for serving","limes, cut into wedges, for serving","2 limes, cut into wedges, for serving","limes, cut into wedges, for serving","limes, cut into wedges, for serving"
basic-dal,1,,"masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","1 cup masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)"
basic-dal,2,,ground turmeric,ground turmeric,1 teaspoon ground turmeric,ground turmeric,ground turmeric
basic-dal,3,,kosher salt,kosher salt,1 teaspoon kosher salt,kosher salt,kosher salt
basic-dal,4,,fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime),2 tablespoons fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime)
basic-dal,6,,ghee or olive oil,ghee or olive oil,2 tablespoons ghee or olive oil,ghee or olive oil,ghee or olive oil
basic-dal,7,,cumin seeds,cumin seeds,2 teaspoons cumin seeds,cumin seeds,cumin seeds
basic-dal,8,,dried red chiles,dried red chiles,2 dried red chiles,dried red chiles,dried red chiles
basic-dal,9,,red chile powder,red chile powder,Pinch of red chile powder,red chile powder,red chile powder
basic-dal,10,,"asafetida (optional, but really great)","asafetida (optional, but really great)","Pinch of asafetida (optional, but really great)","asafetida (optional, but really great)","asafetida (optional, but really great)"
basic-dal,11,,"chopped fresh cilantro (stems and leaves), for garnish","chopped fresh cilantro (stems and leaves), for garnish","½ cup chopped fresh cilantro (stems and leaves), for garnish","chopped fresh cilantro (stems and leaves), for garnish","chopped fresh cilantro (stems and leaves), for garnish"
basic-hummus,0,,dried chickpeas,dried chickpeas,14 cups (250g) dried chickpeas,dried chickpeas,dried chickpeas
basic-hummus,1,,baking soda,baking soda,1 teaspoon baking soda,baking soda,baking soda
basic-hummus,2,,water,water,6½ cups (1.5L) water,water,water
basic-hummus,4,,fresh lemon juice,fresh lemon juice,¼ cup (60ml) fresh lemon juice,fresh lemon juice,fresh lemon juice
basic-hummus,6,,ice cold water,ice cold water,6½ tablespoons (100ml) ice cold water,ice cold water,ice cold water
bbq-gulf-snapper,0,,"small skin-on boneless snapper fillets, 10 to 12 ounces each","small skin-on boneless snapper fillets, 10 to 12 ounces each","2 small skin-on boneless snapper fillets, 10 to 12 ounces each 2 teaspoons kosher salt, plus more for the sauce","small skin-on boneless snapper fillets, 10 to 12 ounces each","small skin-on boneless snapper fillets, 10 to 12 ounces each"
bbq-gulf-snapper,2,,unsalted butter,unsalted butter,2 tablespoons unsalted butter,unsalted butter,unsalted butter
bbq-gulf-snapper,3,,olive oil,olive oil,3 tablespoons olive oil,olive oil,olive oil
bbq-gulf-snapper,4,,"fresh thyme, plus more for garnish","fresh thyme, plus more for garnish","5 sprigs fresh thyme, plus more for garnish","fresh thyme, plus more for garnish","fresh thyme, plus more for garnish"
bbq-gulf-snapper,5,,"baguette, for serving","baguette, for serving","1 baguette, for serving","baguette, for serving","baguette, for serving"
bbq-gulf-snapper,8,,Worcestershire sauce,Worcestershire sauce,3 tablespoons Worcestershire sauce,Worcestershire sauce,Worcestershire sauce
bbq-gulf-snapper,9,,finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley,3 tablespoons finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley
black-pepper-chicken,1,,boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs),12 ounces boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs)
black-pepper-chicken,2,,water,water,3 tablespoons water,water,water
black-pepper-chicken,3,,cornstarch,cornstarch,1 teaspoon cornstarch,cornstarch,cornstarch
