recipe_id,position,old_label,old_raw,new_label,new_raw,display_before,display_after
palak-chicken-recipe-dhaba-style-saag-wala-chicken,37,,Kashmiri red chilli powder,Kashmiri red chilli powder,1/2 tsp Kashmiri red chilli powder,Kashmiri red chilli powder,Kashmiri red chilli powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,38,,"inch ginger, julienned","inch ginger, julienned","2 inch ginger, julienned","inch ginger, julienned","inch ginger, julienned"
pastina,1,,of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work),1 Cup of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work),of Pastina (Either Pastina or Acini di Pepe work)
pastina,2,,"of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","3-4 Cups of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)","of Chicken Broth or Brodo (3 for a thicker Pastina, 4 for a soupier)"
pastina,3,,of Unsalted Butter,of Unsalted Butter,1 Tablespoon of Unsalted Butter,of Unsalted Butter,of Unsalted Butter
pastina,4,,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,1/4 Cup of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano
pastina,8,,of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work),3/4 Cup of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work),of Pastina (Either Pastina or Acini de Pepe work)
pastina,9,,of Chicken Broth or Brodo,of Chicken Broth or Brodo,3 cups of Chicken Broth or Brodo,of Chicken Broth or Brodo,of Chicken Broth or Brodo
pastina,10,,"of Carrots, Small Dice","of Carrots, Small Dice","1/2 Cup of Carrots, Small Dice","of Carrots, Small Dice","of Carrots, Small Dice"
pastina,11,,"of Tuscan Kale, Sliced Thin","of Tuscan Kale, Sliced Thin","1 cup of Tuscan Kale, Sliced Thin","of Tuscan Kale, Sliced Thin","of Tuscan Kale, Sliced Thin"
pastina,12,,"Garlic, Diced","Garlic, Diced","1 Clove of Garlic, Diced","Garlic, Diced","Garlic, Diced"
pastina,14,,Egg,Egg,1 Egg,Egg,Egg
pastina,15,,of Unsalted Butter,of Unsalted Butter,1 Tablespoon of Unsalted Butter,of Unsalted Butter,of Unsalted Butter
pastina,16,,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,1/4 Cup of Grated Parmigiano reggiano,of Grated Parmigiano reggiano,of Grated Parmigiano reggiano
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,1,,stick (8 tablespoons/113 grams) unsalted butter,stick (8 tablespoons/113 grams) unsalted butter,1 stick (8 tablespoons/113 grams) unsalted butter,stick (8 tablespoons/113 grams) unsalted butter,stick (8 tablespoons/113 grams) unsalted butter
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,2,,spooned and leveled all-purpose flour,spooned and leveled all-purpose flour,1 ⅔ cups spooned and leveled all-purpose flour (213 grams),spooned and leveled all-purpose flour,spooned and leveled all-purpose flour
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,3,,pumpkin pie spice,pumpkin pie spice,2 tablespoons (15 grams) pumpkin pie spice,pumpkin pie spice,pumpkin pie spice
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,4,,kosher salt,kosher salt,½ teaspoon kosher salt,kosher salt,kosher salt
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,5,,baking powder,baking powder,¾ teaspoon baking powder,baking powder,baking powder
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,6,,baking soda,baking soda,¾ teaspoon baking soda,baking soda,baking soda
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,7,,"packed light brown sugar 1 cup (200 grams) granulated sugar, divided","packed light brown sugar 1 cup (200 grams) granulated sugar, divided","¾ cup (150 grams) packed light brown sugar 1 cup (200 grams) granulated sugar, divided","packed light brown sugar 1 cup (200 grams) granulated sugar, divided","packed light brown sugar 1 cup (200 grams) granulated sugar, divided"
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,8,,canned pumpkin puree (not pumpkin pie filling),canned pumpkin puree (not pumpkin pie filling),½ cup (120 grams) canned pumpkin puree (not pumpkin pie filling),canned pumpkin puree (not pumpkin pie filling),canned pumpkin puree (not pumpkin pie filling)
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,9,,vanilla extract,vanilla extract,1 tablespoon vanilla extract,vanilla extract,vanilla extract
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,11,,"cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes","4 ounces (½ block/113 grams) cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes","cold cream cheese, cut into large cubes"
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,12,,stick (4 tablespoons/57 grams) unsalted butter,stick (4 tablespoons/57 grams) unsalted butter,½ stick (4 tablespoons/57 grams) unsalted butter,stick (4 tablespoons/57 grams) unsalted butter,stick (4 tablespoons/57 grams) unsalted butter
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,13,,vanilla extract,vanilla extract,1 teaspoon vanilla extract,vanilla extract,vanilla extract
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,14,,kosher salt,kosher salt,Pinch of kosher salt,kosher salt,kosher salt
pumpkin-spice-sandwich-cookies-with-brown-butter-cream-cheese-frosting,15,,confectioners' sugar,confectioners' sugar,2 cups (200 grams) confectioners' sugar,confectioners' sugar,confectioners' sugar
shepherds-pie,0,,Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),2 pounds Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie),Ground beef (For Cottage Pie) or Lamb (For Shepherd’s Pie)
shepherds-pie,1,,onion,onion,1 onion,onion,onion
shepherds-pie,2,,carrots,carrots,2 carrots,carrots,carrots
shepherds-pie,3,,celery,celery,2 stalks celery,celery,celery
shepherds-pie,4,,garlic,garlic,4 cloves garlic,garlic,garlic
shepherds-pie,5,,tomato paste,tomato paste,3 tablespoon tomato paste,tomato paste,tomato paste
shepherds-pie,6,,Worcestershire sauce,Worcestershire sauce,2 tablespoons Worcestershire sauce,Worcestershire sauce,Worcestershire sauce
shepherds-pie,7,,beef stock,beef stock,1 - 1½ cup beef stock,beef stock,beef stock
shepherds-pie,8,,frozen peas,frozen peas,1 cup frozen peas,frozen peas,frozen peas
shepherds-pie,9,,frozen corn,frozen corn,1 cup frozen corn,frozen corn,frozen corn
shepherds-pie,10,,Guinness,Guinness,1 Can of Guinness,Guinness,Guinness
shepherds-pie,11,,Rosemary sprig,Rosemary sprig,1 Rosemary sprig,Rosemary sprig,Rosemary sprig
shepherds-pie,12,,Thyme Sprigs,Thyme Sprigs,3 Thyme Sprigs,Thyme Sprigs,Thyme Sprigs
shepherds-pie,13,,Bay Leaf,Bay Leaf,1 Bay Leaf,Bay Leaf,Bay Leaf
shepherds-pie,14,,butter,butter,1 tablespoon butter,butter,butter
shepherds-pie,15,,olive oil,olive oil,2 tablespoon olive oil,olive oil,olive oil
shepherds-pie,18,,AP Flour,AP Flour,2 Tablespoons AP Flour,AP Flour,AP Flour
shepherds-pie,20,,Russet potatoes,Russet potatoes,4 pounds Russet potatoes,Russet potatoes,Russet potatoes
shepherds-pie,21,,butter,butter,4 tablespoons butter,butter,butter
shepherds-pie,22,,"Aged White Cheddar, grated","Aged White Cheddar, grated","1 cup Aged White Cheddar, grated","Aged White Cheddar, grated","Aged White Cheddar, grated"
shepherds-pie,23,,egg yolk,egg yolk,1 egg yolk,egg yolk,egg yolk
tahini-brioche-loaves-and-dinner-rolls,1,,"whole milk, warmed to 100°F to 110°F","whole milk, warmed to 100°F to 110°F","¼ cup whole milk, warmed to 100°F to 110°F","whole milk, warmed to 100°F to 110°F","whole milk, warmed to 100°F to 110°F"
tahini-brioche-loaves-and-dinner-rolls,2,,active dry yeast,active dry yeast,2¼ teaspoons active dry yeast,active dry yeast,active dry yeast
tahini-brioche-loaves-and-dinner-rolls,3,,sugar,sugar,½ teaspoon sugar,sugar,sugar
tahini-brioche-loaves-and-dinner-rolls,4,,eggs,eggs,2 eggs,eggs,eggs
tahini-brioche-loaves-and-dinner-rolls,5,,all-purpose flour,all-purpose flour,1⅓ cups all-purpose flour,all-purpose flour,all-purpose flour
tahini-brioche-loaves-and-dinner-rolls,7,,/ cups all-purpose flour,/ cups all-purpose flour,1/ cups all-purpose flour,/ cups all-purpose flour,/ cups all-purpose flour
tahini-brioche-loaves-and-dinner-rolls,8,,sugar,sugar,¼ cup sugar,sugar,sugar
tahini-brioche-loaves-and-dinner-rolls,9,,salt,salt,1 tablespoon salt,salt,salt
tahini-brioche-loaves-and-dinner-rolls,10,,eggs plus 1 egg yolk,eggs plus 1 egg yolk,3 eggs plus 1 egg yolk,eggs plus 1 egg yolk,eggs plus 1 egg yolk
tahini-brioche-loaves-and-dinner-rolls,11,,tahini,tahini,6 tablespoons tahini,tahini,tahini
tahini-brioche-loaves-and-dinner-rolls,12,,"sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","1¾ sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes","sticks (7 ounces) unsalted butter, chilled and cut into ½-inch cubes"
tahini-brioche-loaves-and-dinner-rolls,14,,"Tahini Brioche Dough, cold","Tahini Brioche Dough, cold","2 pounds Tahini Brioche Dough, cold","Tahini Brioche Dough, cold","Tahini Brioche Dough, cold"
tahini-brioche-loaves-and-dinner-rolls,15,,eggs,eggs,2 eggs,eggs,eggs
tahini-brioche-loaves-and-dinner-rolls,16,,whole milk,whole milk,2 teaspoons whole milk,whole milk,whole milk
tahini-brioche-loaves-and-dinner-rolls,17,,"sesame seeds, toasted","sesame seeds, toasted","2 to 3 tablespoons sesame seeds, toasted","sesame seeds, toasted","sesame seeds, toasted"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,0,,"garlic cloves, minced","garlic cloves, minced","3 garlic cloves, minced","garlic cloves, minced","garlic cloves, minced"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,1,,freshly squeezed lime juice,freshly squeezed lime juice,3 tablespoons freshly squeezed lime juice,freshly squeezed lime juice,freshly squeezed lime juice
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,2,,"kosher salt, plus more as needed","kosher salt, plus more as needed","½ teaspoon kosher salt, plus more as needed","kosher salt, plus more as needed","kosher salt, plus more as needed"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,3,,small whole mackerel (about,small whole mackerel (about,4 small whole mackerel (about,small whole mackerel (about,small whole mackerel (about
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,4,,cleaned and cut in half crosswise,cleaned and cut in half crosswise,"1½ pounds each), cleaned and cut in half crosswise",cleaned and cut in half crosswise,cleaned and cut in half crosswise
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,5,,all-purpose flour,all-purpose flour,1 cup all-purpose flour,all-purpose flour,all-purpose flour
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,6,,egg,egg,1 large egg,egg,egg
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,8,,"yellow onion, thinly sliced","yellow onion, thinly sliced","1 large yellow onion, thinly sliced","yellow onion, thinly sliced","yellow onion, thinly sliced"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,9,,"vine-ripened tomatoes, coarsely chopped","vine-ripened tomatoes, coarsely chopped","2 medium vine-ripened tomatoes, coarsely chopped","vine-ripened tomatoes, coarsely chopped","vine-ripened tomatoes, coarsely chopped"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,10,,curry powder or,curry powder or,1 teaspoon curry powder or,curry powder or,curry powder or
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,12,,"mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped","1 pound mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped","mature (not baby) spinach, coarsely chopped"
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,13,,chicken bouillon cube,chicken bouillon cube,1 chicken bouillon cube,chicken bouillon cube,chicken bouillon cube
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,14,,water,water,¼ cup water,water,water
